authorID,fullName
b500181,"Joseph Sheridan, Le Fanu"
b500182,"Amy, Steedman"
b500183,"Hugh, Phillips"
b500184,"Arthur, Hayden"
b500185,"Victor, Mapes"
b500186,"Hudson's, Non"
b500187,"George V. (George Vere), Hobart"
b500188,"Don Carlos, Seitz"
b500189,"Jack, London"
b50019,"L., Kirby-Parrish"
b500190,"Charles, Ball"
b500191,"Walter, Besant"
b500192,"Seumas, O'Brien"
b500193,"Charles L. (Charles Lewis), Wrenn"
b500194,"Charles Henry, Lerrigo"
b500196,"Ring, Lardner"
b500197,"William, Biggs"
b500198,"William, Ware"
b500199,"Leonid, Andreyev"
b5002,"W. E., Christian"
b50020,"John, Ormsby"
b500200,"Gregory, Zilboorg"
b500201,"Gilbert, Parker"
b500202,"William, Healy"
b500203,"Mary Tenney, Healy"
b500204,"John Lothrop, Motley"
b500205,"Anna, Fuller"
b500206,"Emma G., Moore"
b500207,"Samuel, Butler"
b500208,"Ralph L. (Ralph Ludwig), Boyer"
b500209,"John Thomas, McIntyre"
b50021,"Miguel de, Cervantes Saavedra"
b500210,"Alice B., Emerson"
b500211,"Temple, Bailey"
b500212,"Alice Barber, Stephens"
b500213,"Tom, Hood"
b500214,"Leonard, Bacon"
b500215,"R. Selden (Robert Selden), Rose"
b500216,"George Randolph, Chester"
b500217,"Charles M., Sheldon"
b500218,"Robert Green, Ingersoll"
b500219,"Nora, Perry"
b50022,"Gustave, Doré"
b500220,"Frank T., Merrill"
b500221,"Francis Asbury, Smith"
b500222,"Etheldred B. (Etheldred Breeze), Barry"
b500223,"Mary Eleanor Wilkins, Freeman"
b500224,"William Henry Giles, Kingston"
b500225,"Stephen, Miller"
b500226,"T., Robertson"
b500227,"Edna, Ferber"
b500228,"Catherine Ann Turner, Dorset"
b500229,"Ellis Parker, Butler"
b50023,"Lorinda Munson, Bryant"
b500230,"John F. (John Francis), Woodhull"
b500231,"Louisa May, Alcott"
b500232,"L. Frank (Lyman Frank), Baum"
b500233,"Stanley John, Weyman"
b500234,"Rupert Sargent, Holland"
b500235,"Will, Thomson"
b500236,"Richard, Jefferies"
b500237,"Samuel, Murray"
b500238,"Sophie, May"
b500239,"Juliana Horatia Gatty, Ewing"
b50024,"William MacLeod, Raine"
b500240,"Francis Lovell, Coombs"
b500241,"Eliza, Cook"
b500242,"Lizbeth Bullock, Humphrey"
b500243,"John, Leech"
b500244,"Herbert Baird, Stimpson"
b500245,"Edgar, Fawcett"
b500246,"F., Jewell"
b500247,"Leo, Summers"
b500248,"James R., Hall"
b500249,"Émile, Zola"
b50025,"Alfred, Burnett"
b500250,"Ernest Alfred, Vizetelly"
b500251,"Beatrix, Potter"
b500252,"Julian, Hawthorne"
b500253,"Steve, Rohrer"
b500254,"Carl R., Maag"
b500255,"G. P. R. (George Payne Rainsford), James"
b500256,"Charlotte M. (Charlotte Mary), Yonge"
b500257,"Helen Hunt, Jackson"
b500258,"Margaret, Widdemer"
b500259,"Sara Elisabeth Siegrist, Boggs"
b50026,"J. Franklin (John Franklin), Jameson"
b500260,"Mór, Jókai"
b500261,"Charles Hope, Provost"
b500262,"Susan Fenimore, Cooper"
