authorID,fullName,firstName,surName,title
a0474, Sewell, Elizabeth Missing, Elizabeth Missing, Sewell, 
a0475, Hill, George Francis, Sir, George Francis, Hill, Sir
a0476, Andersen, Ingeborg, Ingeborg, Andersen, 
a0477, Drachmann, A. B. (Anders Bjarn), A. B. (Anders Bjarn), Drachmann, 
a0478, Freeman, Lewis R. (Lewis Ransome), Lewis R. (Lewis Ransome), Freeman, 
a0479, Kingsley, Henry, Henry, Kingsley, 
a048, Nichols, Beverley, Beverley, Nichols, 
a0480, Lightfoot, J. B. (Joseph Barber), J. B. (Joseph Barber), Lightfoot, 
a0481, Adams, Samuel Hopkins, Samuel Hopkins, Adams, 
a0482, Schoonover, Frank E., Frank E., Schoonover, 
a0483, Allen, Grant, Grant, Allen, 
a0484, Edgeworth, Maria, Maria, Edgeworth, 
a0485, Edgeworth, Richard Lovell, Richard Lovell, Edgeworth, 
a0486, Stringer, Arthur, Arthur, Stringer, 
a0487, Hazlitt, William, William, Hazlitt, 
a0488, Stevens, John, John, Stevens, 
a0489, Leonardo de Argensola, Bartolomé, Bartolomé, Leonardo de Argensola, 
a049, Costelloe, Laurence, Laurence, Costelloe, 
a0490, Young, Daniel, Daniel, Young, 
a0491, Orban, Paul, Paul, Orban, 
a0492, Henderson, Gene L., Gene L., Henderson, 
a0493, Hickey, H. B., H. B., Hickey, 
a0494, Compton, Berdmore, Berdmore, Compton, 
a0495, Churchill, Winston, Winston, Churchill, 
a0496, Cushman, Robert, Robert, Cushman, 
a0497, Piffard, Harold, Harold, Piffard, 
a0498, Marsh, Richard, Richard, Marsh, 
a0499, Morrison, Arthur, Arthur, Morrison, 
a05, Ashman, William, William, Ashman, 
a050, Hunting, Harold B. (Harold Bruce), Harold B. (Harold Bruce), Hunting, 
a0500, Levett Yeats, S. (Sidney), S. (Sidney), Levett Yeats, 
a0501, Webster, Frank V., Frank V., Webster, 
a0502, Rose, Joshua, Joshua, Rose, 
a0503, Balfour, Grant, Grant, Balfour, 
a0504, Hume, Fergus, Fergus, Hume, 
a0505, Planta, Joseph, Joseph, Planta, 
a0506, Purcell, Dick, Dick, Purcell, 
a0507, Arundel, Louis, Louis, Arundel, 
a0508, Linn, William Alexander, William Alexander, Linn, 
a0509, Benson, Robert Hugh, Robert Hugh, Benson, 
a051, Shellenberger, John K., John K., Shellenberger, 
a0510, Maxwell, W. B. (William Babington), W. B. (William Babington), Maxwell, 
a0511, Copus, J. E. (John Edwin), J. E. (John Edwin), Copus, 
a0512, Kant, Immanuel, Immanuel, Kant, 
a0513, Abbott, Thomas Kingsmill, Thomas Kingsmill, Abbott, 
a0514, Pfeiffer, Ida, Ida, Pfeiffer, 
a0515, Galilei, Galileo, Galileo, Galilei, 
a0516, Salusbury, Thomas, Thomas, Salusbury, 
a0517, Frith, Henry, Henry, Frith, 
